Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709390395,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709390396,1,GET,/randStr,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,126.11271000014312,126.11271000014312,126.11271000014312,126.11271000014312,2024.0
1709390396,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,126.11271000014312,126.11271000014312,126.11271000014312,126.11271000014312,2024.0
1709390397,1,POST,/postData,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,44.23690599969632,60.28218699975696,44.23690599969632,76.3274679998176,96.5
1709390397,1,GET,/randStr,0.000000,0.000000,6,7,9,9,15,130,130,130,130,130,130,11,0,6,17.749588545525924,4.151335000187828,126.11271000014312,2473.7272727272725
1709390397,1,GET,/slow,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,580.0,755.4862440001671,578.0027480000172,932.969740000317,0.0
1709390397,1,,Aggregated,0.000000,0.000000,7,15,44,76,580,930,930,930,930,930,930,15,0,7,121.78548906670888,4.151335000187828,932.969740000317,1826.9333333333334
1709390398,1,POST,/postData,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,44.23690599969632,60.28218699975696,44.23690599969632,76.3274679998176,96.5
1709390398,1,GET,/randStr,0.000000,0.000000,6,7,9,9,15,130,130,130,130,130,130,11,0,6,17.749588545525924,4.151335000187828,126.11271000014312,2473.7272727272725
1709390398,1,GET,/slow,0.000000,0.000000,930,930,930,930,930,930,930,930,930,930,930,2,0,580.0,755.4862440001671,578.0027480000172,932.969740000317,0.0
1709390398,1,,Aggregated,0.000000,0.000000,7,15,44,76,580,930,930,930,930,930,930,15,0,7,121.78548906670888,4.151335000187828,932.969740000317,1826.9333333333334
1709390399,1,POST,/postData,0.000000,0.000000,76,76,76,76,76,76,76,76,76,76,76,2,0,44.23690599969632,60.28218699975696,44.23690599969632,76.3274679998176,96.5
1709390399,1,GET,/randStr,1.000000,0.000000,6,7,9,9,15,130,130,130,130,130,130,11,0,6,17.749588545525924,4.151335000187828,126.11271000014312,2473.7272727272725
1709390399,1,GET,/slow,0.000000,0.000000,930,930,1700,1700,1700,1700,1700,1700,1700,1700,1700,3,0,930.0,1082.4543500001103,578.0027480000172,1736.3905619999969,0.0
1709390399,1,,Aggregated,1.000000,0.000000,7,15,76,580,930,1700,1700,1700,1700,1700,1700,16,0,7,222.69830612503938,4.151335000187828,1736.3905619999969,1712.75
1709390400,1,POST,/postData,0.000000,0.000000,76,76,76,76,76,76,76,76,76,76,76,2,0,44.23690599969632,60.28218699975696,44.23690599969632,76.3274679998176,96.5
